"rules","support","confidence","lift","count"
"62","{Dell 2 Desktop} => {Apple Magic Keyboard}",0.0090493136756482,0.27217125382263,3.7968855054547,89
"131","{Apple Magic Keyboard} => {Lenovo Desktop Computer}",0.0220640569395018,0.307801418439716,2.07913938897981,217
"132","{Apple Magic Keyboard} => {HP Laptop}",0.0288764616166751,0.402836879432624,2.07538015150333,284
"133","{Apple Magic Keyboard} => {iMac}",0.0323335027961362,0.451063829787234,1.76110074075325,318
"218","{Apple Magic Keyboard,ASUS 2 Monitor} => {iMac}",0.00630401626842908,0.568807339449541,2.22080991801756,62
"248","{Apple Magic Keyboard,ASUS Monitor} => {iMac}",0.00681240467717336,0.67,2.61589916633585,67
"317","{Acer Aspire,Apple Magic Keyboard} => {iMac}",0.00630401626842908,0.579439252336449,2.2623203837749,62
"318","{Acer Desktop,Apple Magic Keyboard} => {HP Laptop}",0.00640569395017794,0.594339622641509,3.06198543147158,63
"319","{Acer Desktop,Apple Magic Keyboard} => {iMac}",0.0067107269954245,0.622641509433962,2.43099612754387,66
"320","{Apple Magic Keyboard,ViewSonic Monitor} => {Lenovo Desktop Computer}",0.00711743772241993,0.409356725146199,2.76512595591543,70
"321","{Apple Magic Keyboard,Lenovo Desktop Computer} => {ViewSonic Monitor}",0.00711743772241993,0.32258064516129,2.92403746097815,70
"322","{Lenovo Desktop Computer,ViewSonic Monitor} => {Apple Magic Keyboard}",0.00711743772241993,0.25089605734767,3.5000889702331,70
"323","{Apple Magic Keyboard,ViewSonic Monitor} => {HP Laptop}",0.00874428063040163,0.502923976608187,2.59102006806785,86
"324","{Apple Magic Keyboard,HP Laptop} => {ViewSonic Monitor}",0.00874428063040163,0.302816901408451,2.74488868696047,86
"325","{Apple Magic Keyboard,ViewSonic Monitor} => {iMac}",0.00955770208439248,0.549707602339181,2.14623829654857,94
"326","{Apple Magic Keyboard,iMac} => {ViewSonic Monitor}",0.00955770208439248,0.29559748427673,2.67944816392777,94
"327","{Apple Magic Keyboard,Dell Desktop} => {Lenovo Desktop Computer}",0.00772750381291307,0.444444444444444,3.00213675213675,76
"328","{Apple Magic Keyboard,Lenovo Desktop Computer} => {Dell Desktop}",0.00772750381291307,0.350230414746544,2.61344167604875,76
"329","{Apple Magic Keyboard,Dell Desktop} => {HP Laptop}",0.00965937976614133,0.555555555555556,2.86217333100518,95
"330","{Apple Magic Keyboard,HP Laptop} => {Dell Desktop}",0.00965937976614133,0.334507042253521,2.49611286840924,95
"331","{Apple Magic Keyboard,Dell Desktop} => {iMac}",0.0101677681748856,0.584795321637427,2.28323223037082,100
"332","{Apple Magic Keyboard,iMac} => {Dell Desktop}",0.0101677681748856,0.314465408805031,2.34656092230462,100
"333","{Apple Magic Keyboard,CYBERPOWER Gamer Desktop} => {HP Laptop}",0.0067107269954245,0.458333333333333,2.36129299807927,66
"334","{Apple Magic Keyboard,CYBERPOWER Gamer Desktop} => {iMac}",0.00782918149466192,0.534722222222222,2.08773047064532,77
"335","{Apple Magic Keyboard,Lenovo Desktop Computer} => {HP Laptop}",0.010574478901881,0.47926267281106,2.46911911319894,104
"336","{Apple Magic Keyboard,HP Laptop} => {Lenovo Desktop Computer}",0.010574478901881,0.366197183098592,2.47359154929577,104
"337","{Apple Magic Keyboard,Lenovo Desktop Computer} => {iMac}",0.0113879003558719,0.516129032258065,2.01513657493373,112
"338","{Apple Magic Keyboard,iMac} => {Lenovo Desktop Computer}",0.0113879003558719,0.352201257861635,2.37905176584422,112
"339","{Apple Magic Keyboard,HP Laptop} => {iMac}",0.0147432638535841,0.51056338028169,1.99340644901565,145
"340","{Apple Magic Keyboard,iMac} => {HP Laptop}",0.0147432638535841,0.455974842767296,2.3491422622401,145
