"","Price","x5StarReviews","x4StarReviews","x3StarReviews","x2StarReviews","x1StarReviews","PositiveServiceReview","NegativeServiceReview","Recommendproduct","ShippingWeight","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume"
"Price",1,-0.142343989943956,-0.165283698998628,-0.15053761263512,-0.110681189313799,-0.0839573320106058,-0.1421432911785,-0.0607903734013516,0.0689303570441036,0.416777401464531,0.0109676486021099,0.382397532833337,0.294160596626057,0.0996694054392855,-0.142343989943956
"x5StarReviews",-0.142343989943956,1,0.879006394026042,0.76337318860758,0.48727932758454,0.25502390358328,0.62226021891923,0.309418988539961,0.169541264002013,-0.188023980197234,0.0661052491056123,-0.143436609234817,-0.160004003301731,-0.0134486026028147,1
"x4StarReviews",-0.165283698998628,0.879006394026042,1,0.937214175138633,0.679005621353529,0.444941716823993,0.483421283165878,0.533222177680634,0.0714153314661591,-0.194914093785226,-0.0317207110631592,-0.000647612524295935,-0.085855970813991,-0.146653802043998,0.879006394026042
"x3StarReviews",-0.15053761263512,0.76337318860758,0.937214175138633,1,0.861480049847845,0.679276157852809,0.418517392519018,0.684096618578341,-0.056613257167212,-0.171842041774068,-0.0493765025887718,-0.0188389256166022,-0.0680814056311416,-0.128706922194661,0.76337318860758
"x2StarReviews",-0.110681189313799,0.48727932758454,0.679005621353529,0.861480049847845,1,0.951912977750825,0.308901370285703,0.864754808179532,-0.197917978521754,-0.128685585717918,-0.0426360072023787,-0.065799979409692,-0.0137748052338846,-0.0900937151779324,0.48727932758454
"x1StarReviews",-0.0839573320106058,0.25502390358328,0.444941716823993,0.679276157852809,0.951912977750825,1,0.200035287917508,0.884728323145863,-0.246092974423077,-0.0956561916079239,-0.0346398006810644,-0.101139826393846,0.00251785875613338,-0.031227760446718,0.25502390358328
"PositiveServiceReview",-0.1421432911785,0.62226021891923,0.483421283165878,0.418517392519018,0.308901370285703,0.200035287917508,1,0.26554974710073,0.232828809972269,-0.270738542826657,-0.0505265915052735,-0.339093728471111,-0.314294444638157,0.423591715887574,0.62226021891923
"NegativeServiceReview",-0.0607903734013516,0.309418988539961,0.533222177680634,0.684096618578341,0.864754808179532,0.884728323145863,0.26554974710073,1,-0.188329241890307,-0.111793874057014,-0.067410452167803,-0.0972071272393274,-0.0207353053733958,0.0420356298466211,0.309418988539961
"Recommendproduct",0.0689303570441036,0.169541264002013,0.0714153314661591,-0.056613257167212,-0.197917978521754,-0.246092974423077,0.232828809972269,-0.188329241890307,1,-0.126043886781709,0.0903582658301239,0.0110910858979208,-0.0437157554884842,0.0957606420308993,0.169541264002013
"ShippingWeight",0.416777401464531,-0.188023980197234,-0.194914093785226,-0.171842041774068,-0.128685585717918,-0.0956561916079239,-0.270738542826657,-0.111793874057014,-0.126043886781709,1,0.0655969244631905,0.692473518093736,0.700311108736773,-0.0792153792359578,-0.188023980197234
"ProductDepth",0.0109676486021099,0.0661052491056123,-0.0317207110631592,-0.0493765025887718,-0.0426360072023787,-0.0346398006810644,-0.0505265915052735,-0.067410452167803,0.0903582658301239,0.0655969244631905,1,-0.00600851167701784,0.0254849931137184,-0.207176026280335,0.0661052491056123
"ProductWidth",0.382397532833337,-0.143436609234817,-0.000647612524295935,-0.0188389256166022,-0.065799979409692,-0.101139826393846,-0.339093728471111,-0.0972071272393274,0.0110910858979208,0.692473518093736,-0.00600851167701784,1,0.566827112922554,-0.291436396819691,-0.143436609234817
"ProductHeight",0.294160596626057,-0.160004003301731,-0.085855970813991,-0.0680814056311416,-0.0137748052338846,0.00251785875613338,-0.314294444638157,-0.0207353053733958,-0.0437157554884842,0.700311108736773,0.0254849931137184,0.566827112922554,1,-0.288106288952952,-0.160004003301731
"ProfitMargin",0.0996694054392855,-0.0134486026028147,-0.146653802043998,-0.128706922194661,-0.0900937151779324,-0.031227760446718,0.423591715887574,0.0420356298466211,0.0957606420308993,-0.0792153792359578,-0.207176026280335,-0.291436396819691,-0.288106288952952,1,-0.0134486026028147
"Volume",-0.142343989943956,1,0.879006394026042,0.76337318860758,0.48727932758454,0.25502390358328,0.62226021891923,0.309418988539961,0.169541264002013,-0.188023980197234,0.0661052491056123,-0.143436609234817,-0.160004003301731,-0.0134486026028147,1
